total_rooms,population,median_income,median_house_value
847,567,1.1765,87100
541,380,2.3456,83500
1066,825,2.1538,79700
707,417,2.5139,83400
1528,801,1.2625,84700
909,646,2.9063,80000
1391,855,2.5192,76400
548,435,2.1111,79700
4074,2736,2.455,82400
1613,1481,2.4028,97700
463,327,2.15,97200
818,494,2.4776,101600
1473,1231,2.1587,86500
504,323,1.8438,90500
1026,749,3.0298,107600
769,693,2.25,84200
2103,1339,2.2467,88900
330,282,4.0469,80700
941,621,1.325,87100
992,732,1.6196,85100
990,901,2.1731,82000
1126,482,1.9167,82800
1036,652,2.069,84600
1047,651,1.712,82100
1280,999,2.5625,89300
1587,907,1.9821,98300
1257,828,2.5043,92300
1218,763,2.3281,88800
1751,935,1.4375,90000
2299,1437,2.5122,95500
2457,1516,1.5625,91700
998,597,3.1587,100400
1685,949,1.8426,94800
1827,881,4.6696,164300
2781,1438,2.4598,155500
1823,763,6.0749,196900
2229,1297,4.8304,279100
1513,545,5.5701,252800
3266,1222,5.37,275400
1809,808,6.86,250000
794,329,7.6923,329800
690,299,4.0313,195500
1334,579,6.8323,255900
414,137,4.975,311100
768,229,5.3602,330000
4400,1476,5,248900
954,429,2.925,142900
1445,849,3.8913,126300
1938,946,3.225,135800
856,571,3.1458,130600
1790,1137,2.537,107900
617,378,2.5568,111100
1383,853,3.5083,122000
1325,764,3.3125,118000
1227,928,1.8235,95200
667,406,3.8047,94300
1223,824,2.2917,92500
1379,835,2.4962,91800
1534,826,4.0417,109400
1029,567,3.4844,129500
771,355,4.1458,143400
824,533,2.625,98200
1097,609,2.0227,103100
1283,576,3.3333,276800
1604,594,5.338,270900
2248,870,3.4732,246200
2263,1027,3.5125,224200
1571,693,3.1375,229100
1520,815,2.8036,211600
5083,2420,4.5824,256100
1077,518,3.0208,206300
1248,620,4.0875,221300
1342,551,4.5268,207400
3061,2556,1.7375,350000
3171,1498,3.1795,218200
1211,523,3.8672,216700
979,374,5.1675,270600
2269,1004,5.1696,261400
1844,769,4.2614,261300
2178,940,5.0551,232200
1650,645,5.6228,375400
1927,705,7.8864,357300
2079,684,7.9556,374400
1803,572,6.174,358800
2041,671,6.9414,417500
3046,975,8.8342,430500
2318,779,7.1754,362900
2003,658,10.0825,397000
2261,819,4.9083,346800
1225,412,5.7912,327100
2315,835,4.5893,290100
2070,722,5.4171,292000
2616,1085,4.125,270900
2640,973,7.266,371100
1978,723,5.3989,335600
2220,903,7.8336,371300
1125,356,6.1593,344000
3078,1005,6.381,342200
3706,1205,6.6828,370900
3000,987,7.5385,350000
2863,1031,6.7138,368600
2551,894,6.2425,391800
2255,823,5.7979,415300
3360,1232,4.2813,284900
1693,669,3.5417,287500
2252,989,3.0132,272900
2495,1058,4.1429,259600
1193,506,4.1912,254500
1172,489,3.9167,235600
2159,824,3.8897,218400
2365,1034,3.1065,229200
1895,920,2.9926,192100
1650,841,3.556,179300
453,749,1.475,187500
409,208,1.6971,138800
503,228,2.1705,150000
499,287,2.75,140600
477,218,2.5682,120000
1647,854,2.9,144800
3123,1695,2.2208,144800
957,403,3.2344,245500
589,288,3.5156,200000
2026,963,1.9805,173700
1829,1129,2.6684,185600
895,386,3.875,182600
1909,811,3.006,227900
3022,1293,2.543,220700
1777,805,2.8676,212000
2803,1372,2.1907,271400
1465,862,1.7778,268800
2619,1152,2.52,277800
1149,483,4.2788,332500
2363,1558,2.944,338900
2604,1798,1.725,287500
685,266,5.2289,384600
1756,2184,2.5562,371400
1204,2016,0.949,350000
609,1349,1.1696,500001
1087,3337,1.4012,175000
2773,1721,1.1859,241700
3218,1675,1.7464,216700
1350,707,2.8846,211300
3084,1424,2.7372,210200
938,393,3.8594,196400
1813,828,3.5625,191700
1233,571,2.2788,182300
2539,1382,2.537,175000
1267,792,2.525,165900
1665,815,1.9946,156900
1659,788,2.8214,164300
2225,1145,2.6165,150000
2485,1354,1.9483,150500
2031,958,1.9327,169900
2932,1361,1.9798,147400
2246,1005,2.4167,152700
2052,924,2.5417,182700
1999,780,3.3906,179300
3007,1582,2.5652,157700
2214,1213,2.2845,153100
1088,486,2.6071,250000
834,494,3.15,206300
1769,849,2.6914,218800
2307,1127,1.8447,198200
5161,3276,1.6307,253600
3497,1493,2.9044,257400
3774,1461,2.9405,289500
2888,1253,3.3893,241700
2153,1656,3.0417,489600
1389,514,7.0897,446200
1709,719,5.0463,456300
1587,878,1.7652,336800
1668,517,7.8521,500001
3726,1366,9.3959,500001
4048,1316,5.3794,376900
3618,1508,3.2619,309600
4076,1800,2.7054,182300
2077,719,2.2431,172700
1279,675,1.9028,150800
1974,875,1.5817,153600
335,152,2.2841,106300
1375,843,1.3785,142300
610,281,2.9018,119400
1025,506,1.73,147900
2063,1054,2.2625,132900
1872,1017,2.2106,132500
3108,1623,2.6997,126900
7355,3100,4.0018,143800
2990,947,7.8772,500001
2492,808,11.8603,500001
2991,1018,13.499,500001
3242,1001,12.2138,500001
3051,1005,8.1872,466100
3494,1192,12.3804,500001
1757,585,5.8948,457800
2449,916,8.1194,471600
1611,556,8.7477,500001
3665,1470,6.155,398600
2474,1104,5.883,340700
3037,1242,5.2128,289900
2269,805,4.7188,335300
1316,378,5.2915,333000
1153,481,2.6411,241000
772,409,3.3214,189600
1711,885,3.6417,206300
2650,1468,3.0161,215700
1038,482,3.1771,210200
1527,825,3.4531,208800
859,429,4.3098,197900
970,528,3.3438,201300
1045,496,2.9213,190800
1408,718,2.6806,207900
1222,630,3.7708,215300
1169,723,3.9444,212900
2020,959,5.2601,292700
4145,3668,2.5444,275000
2038,2037,2.6447,200000
5154,3741,2.5762,173400
1241,821,1.9427,102200
1468,870,2.9688,220800
3997,1901,3.75,242800
2873,1243,5.1702,265400
1487,730,2.5139,219000
1670,793,2.9732,282100
2252,1033,5.5337,372000
1731,872,4.1667,225800
1710,849,2.7115,220800
2388,1121,3.3269,234500
2156,872,3.2685,254200
1565,637,4.7778,351800
1704,663,4.226,275000
1210,411,3.3571,405400
2097,915,2.9899,228100
1848,921,2.875,234000
955,585,2.3882,162500
4329,2086,2.975,243400
3011,1303,5.1039,273800
1049,374,4.1458,248500
2504,979,3.4762,244000
1846,827,2.6833,240900
1705,658,5.75,306300
1542,654,3.9632,240000
891,384,4.9489,247100
4051,1499,4.8711,286600
2646,1128,3.0718,266700
2428,1110,3.6719,229800
2567,1119,4.6094,229300
7031,2930,4.5213,228400
1914,897,4.4562,206200
18634,7427,7.611,350700
5785,2973,3.2689,231000
2876,1340,3.567,252900
6909,2974,3.6875,353900
5679,2690,4.7695,291700
1156,583,3.1972,100000
14316,5781,7.2634,341600
3596,1738,7.0568,412500
3541,1478,4.635,248600
1808,746,5.3015,254900
2879,1235,4.9801,241500
3204,1411,5.4834,295200
3866,1368,6.187,340400
2476,1048,5.6194,274700
2211,1004,5.4639,238600
2663,1086,5.1498,266400
2599,922,5.8382,330200
4569,1950,4.65,206800
2973,1413,4.3819,209200
3115,1444,3.7222,195800
1843,749,5.2855,253500
2053,867,4.3375,241800
6740,2723,5.2131,252500
1751,731,6.005,263900
1663,781,5.0519,227000
3716,1784,4.8237,220900
2718,1156,5.2497,259300
1420,645,4.125,232500
1893,821,4.6005,231600
3906,1912,3.5187,209400
3400,1487,3,223200
3402,1645,3.4934,209900
4413,2239,2.9861,208200
2304,1021,2.5362,203800
2350,1105,3.3021,195700
5914,2999,3.0964,190500
1575,740,2.8512,181000
1414,629,3.3478,184900
848,314,2.3958,190800
3051,1479,3.5295,242200
4296,1732,4.8036,188300
2898,1338,3.851,183500
1071,440,4.0662,204200
2619,922,4.6042,251900
1494,611,2.2,187500
2260,994,4.1164,198200
1394,545,3.95,219000
1028,317,4.9135,275000
3758,1573,2.8355,245400
2163,925,3.25,177500
1699,768,2.8301,171600
1555,620,3.7159,183300
1114,425,2.5625,175000
1498,1003,3.8047,156700
726,519,3.375,157500
890,481,3.244,179800
2639,1209,4.0268,205500
2562,1398,3.3906,178900
361,158,5.5461,262500
3008,1817,3.371,165000
1369,766,3.5313,159700
1692,814,3.663,158300
1007,618,2.875,144800
3783,2139,4.0202,166300
1507,632,4.5553,191000
666,366,3.4643,175000
2229,877,3.3431,137500
2215,830,2.1898,141700
1616,739,2.9097,210900
1190,540,3.375,198300
4169,2024,2.8125,157400
2024,823,5,264700
1723,711,3.0673,218400
2264,931,3.8125,235100
1996,686,6.9096,341800
2862,1030,7.912,367300
2183,976,3.8393,243500
1037,552,4,167900
1134,340,6.5095,371200
786,288,3.5156,218900
1397,555,2.983,202700
2315,1006,3.524,186200
1613,776,3.1103,188900
1421,609,3.5781,180000
5778,2441,3.1682,202700
3094,1364,2.6101,181700
3905,2197,3.6932,166800
3046,1333,3.4583,183700
3516,1810,3.9032,218000
998,531,4.0208,191500
1464,672,3.5547,194700
1463,695,4.5859,187200
4124,2162,2.6321,223100
2380,1216,3.395,271300
1266,606,3.9702,194100
2239,1203,5.0043,190400
1571,874,4.4659,189100
1246,637,3.6625,184600
1501,703,3.8864,197300
1468,733,3.4583,192600
1118,625,3.7813,192200
1097,568,2.9917,194600
1719,836,4.4375,193500
1755,952,4,202600
1687,568,2.3869,83300
2262,1125,4.7609,212600
2087,840,5.4858,187800
1480,796,4.3971,205700
1545,863,4.0109,192900
2632,1349,4.3864,205200
2261,929,4.2841,213400
1670,957,5.1312,183600
2141,1093,2.9958,178400
3337,1489,3.6364,219200
3184,1561,2.7955,183100
2341,1256,2.9507,157100
1197,695,3.4375,157800
1131,560,2.875,161700
1164,632,3.0345,152100
3495,1849,2.679,144900
2488,1287,2.9922,179900
2681,1580,4.1042,179100
2495,1571,2.5833,159900
1689,828,2.1552,161400
1298,835,2.3274,170400
2693,1765,2.4206,137500
746,387,3.9063,178400
2444,1562,2.6464,155200
1472,768,3.4643,160900
2227,1140,2.3973,167300
200,83,6.5,340000
1283,485,6.0574,431000
2445,1189,3.8958,301100
1307,586,4.7813,241900
3785,2240,3.2829,162500
2031,867,5.3169,299200
8299,3827,6.2579,315500
7518,3827,5.1701,216800
1815,1280,3.25,218100
5367,2667,3.1796,170300
1167,253,2.4196,275000
2607,1401,2.6563,184100
493,233,0.9637,160000
1252,673,2.3357,175000
1382,704,3.5114,197500
500,273,3.3125,150000
2333,1120,2.4042,205600
1834,1105,2.8322,170300
1415,569,2.5156,190900
1352,691,3.4032,196900
2116,1109,2.535,174000
1976,1197,2.5772,170200
1779,1061,3.0962,180900
3659,2479,2.9564,150500
1892,1162,3.125,167100
1958,1146,2.95,148900
1553,724,4.38,196400
2412,975,4.0417,191100
2110,952,3.8,187500
2179,1159,3.4839,180600
2457,1129,4.0588,182800
2147,1175,4.1974,179300
1676,924,3.6,179400
2976,1424,4.267,210300
3036,1366,4.2386,192300
2472,1171,5.5797,198100
1487,641,4.0682,196200
2012,880,3.1734,181600
3342,1635,4.7933,186900
3156,1495,4.8125,188300
1748,914,3.8676,184000
3429,1798,3.9395,184700
3592,1625,3.2434,179900
1035,599,3.0917,167200
3028,2037,3.0645,165400
2431,1854,2.7019,154000
2069,1408,3.1115,153500
1340,766,3.4722,135400
1160,725,2.2222,158300
2015,1019,6.1104,240700
3882,1830,4.2733,180700
3239,1469,3.2465,230600
2932,1198,3.2417,210800
2104,1039,3.875,165300
1694,690,6.0501,254200
3000,1155,6.8233,332600
2419,1066,6.3501,350000
2280,1255,2.6719,161200
5031,2461,3.875,179300
1547,1063,2.5625,154300
3300,2181,3.016,161800
5018,3069,2.7694,161900
1813,1093,3.6818,165400
1997,1349,2.1382,166600
901,599,3.7303,149700
686,480,3.875,162100
1954,1293,3.0489,152600
2630,1414,2.8203,195200
1130,543,4.3897,190600
1184,572,4.7143,193800
656,342,4.6875,200600
2544,2332,3.2091,150000
1305,768,4.275,185300
1755,913,4.1302,172700
2843,1726,3.09,174100
2538,1185,4.5417,194400
1784,735,4.6635,206700
1797,796,4.4427,204500
410,252,4.5303,175000
162,86,2.375,137500
9963,5613,3.8171,187200
2361,1727,4.5281,173600
862,407,4.3456,163000
4335,2041,3.4861,331600
1487,854,5.2312,197600
3592,1907,3.6708,197900
432,264,3.8875,228100
1457,735,3.9167,189500
1578,836,3.9063,184200
2172,1377,3.7895,180900
1340,789,3.8,172000
1116,662,5.7309,177900
1885,853,4.1141,173100
1180,664,5.2838,172600
5267,4065,3.3479,182100
1897,1109,3.142,179500
767,548,3.7614,176000
691,431,4.25,192600
786,463,3.9338,182700
5861,5436,2.5158,134900
2784,2028,2.4808,157600
4524,2426,4.7083,190900
1468,1038,4.1652,158200
1655,857,3.5541,350000
1227,848,3.8036,158200
1160,729,3.8259,146100
952,369,3.2331,226700
2072,1001,4.7109,198700
2964,1472,4.2468,221200
1032,453,6.396,208500
657,328,3.8125,204200
1540,793,3.2857,193200
1298,632,3.8929,209500
1409,1002,3.7262,164900
1383,808,4.0125,161400
1151,727,4.1719,187000
899,455,4.2857,190400
1793,1534,3.6458,156600
2485,1139,2.6875,157300
1931,1175,3.7292,168100
2329,1401,4.5913,177600
6711,3388,3.8625,208900
1939,841,3.3611,169200
1642,705,2.8971,163900
1619,1148,4.0326,164700
517,391,4.0682,156900
1570,992,5.3644,168800
1213,790,4.7019,174100
1826,1016,5.64,206500
2261,1039,3.7931,203900
3666,2341,4.6458,217000
1633,1382,3.694,159600
2155,1858,2.652,159800
1295,1156,3.5,154300
1295,1097,3.2386,149600
1518,831,5.097,188600
3314,1873,4.3875,238500
3009,1640,4.625,235300
2605,1568,5.0406,261400
5159,3174,5.8704,234400
1726,1186,5.3226,231700
1816,1367,4.235,156300
2578,1680,4.825,222000
2576,1657,5.5218,254400
1644,1033,6.5116,244300
1606,1117,6.0661,247000
3349,2003,6.0074,236500
3475,2568,4.6211,151400
1893,1461,5.225,213700
1727,1116,5.3428,243600
6243,3163,3.7462,212500
2077,1488,4.5721,214700
1165,855,3.6923,213200
4371,2530,4.6786,256000
838,240,2.875,237500
3052,2097,3.3617,178100
4313,2629,5.7579,231800
385,295,2.9706,147900
3046,2056,3.9022,191700
4342,2172,4.6146,247600
3575,1777,5.7192,283500
4126,2079,3.6832,216900
2878,1276,6.2073,282500
4405,2071,5.8151,295600
16199,8117,5.8322,281800
14917,8012,5.6277,269800
5719,3436,5.2879,231200
8647,5019,6.5615,318300
8112,4576,5.6758,253400
10648,6075,6.1047,278200
1150,648,3.5714,300000
14014,7205,6.0824,273500
4332,2461,4.3594,223400
1716,914,5.5737,214500
4981,2841,4.8962,220200
8444,4446,4.6978,240300
3028,1531,4.4259,158000
2068,1434,3.3008,224200
1325,909,4.5687,177200
2563,1174,3.8179,216100
5505,2641,5,269700
6462,3288,4.3393,231200
3746,1606,4.1387,162500
8918,4518,4.8052,254000
1949,986,4.6349,196200
4924,3080,3.168,189400
5133,3386,3.1326,220800
6647,4649,2.9074,213800
5674,2412,8.3996,442900
10687,4552,6.6478,333400
1354,596,6.629,352400
3715,1631,6.2179,305300
2095,941,5.761,259600
3517,1724,4.6641,248900
2537,1067,6.7599,356000
5106,2738,3.9909,236000
2215,1278,4.2955,218800
2949,1538,4.9615,228000
2375,1252,2.6198,235900
2312,1344,4.7135,203200
2277,1353,4.75,197000
2506,1273,5.4299,236400
2829,1610,4.6,223200
3179,2142,4.1947,222700
2332,1285,5.388,225000
3584,1673,3.9444,240100
3046,1772,5.3283,227900
2414,1106,4.8403,268600
4133,2023,5.1616,275100
2791,1276,4.9167,256300
6103,3026,4.1591,332400
2572,1128,5,287600
1910,852,5.8325,298900
1890,889,5.7057,287600
5405,2831,5.0423,222200
3761,1776,4.5317,232600
3333,1671,5.4359,258300
4925,2530,5.0824,230900
3994,2721,5.2308,196900
5811,3215,4.4107,223500
4211,2352,5.2396,223900
5532,2855,4.7478,243500
28258,12203,8.4045,451100
4909,1981,9.7194,500001
7441,3571,5.1643,193100
4314,1972,5.3813,264400
2016,1105,6.0878,246900
5377,2759,6.868,337300
9167,4319,6.992,284800
3087,1597,4.9118,217300
3170,1446,4.4357,291700
2145,1285,4.9464,223800
4209,2568,5.2882,223100
4247,2357,5.1321,211300
4458,2998,3.9667,218500
407,307,3.1696,156300
6483,3526,5.0838,248200
1867,1213,4.8214,186000
2918,1911,4.1406,178200
2316,1524,3.7364,190400
1240,719,3.535,210300
4458,3038,5.0739,208000
1746,1268,3.256,183300
4572,2346,6.0667,245700
4280,2216,5.7072,242200
6352,3223,4.9867,181700
7477,2937,5.1437,299400
4638,2302,5.347,219500
4377,2038,5.7233,231800
3816,1935,4.4697,221300
2806,1453,4.9107,213800
4822,2288,4.2281,206000
6473,2484,5.0143,271100
8072,3386,7.2494,336500
1280,512,5.1406,315600
3166,1081,8.3337,500001
3742,1590,7.316,285400
7397,3126,6.4994,323000
1655,706,7.2211,291900
2456,793,4.4087,225600
2179,926,5.9345,259600
1804,831,6.177,262900
3631,1700,5.817,257300
2876,1395,6.3132,259200
7490,3329,6.3373,339700
2234,854,7.333,337200
1898,734,6.2918,334100
4070,1543,6.5214,311500
2244,937,6.4524,296900
2948,1181,6.0604,247900
2034,852,6.5285,300400
2130,876,7.2639,332400
9540,3926,7.4353,389800
2702,1360,3.1127,233000
522,161,2.4896,238500
775,315,5.0677,233300
1565,769,2.1187,231300
1309,514,10.9506,475800
5519,2444,7.0691,393200
4337,1813,5.5,247200
1812,853,4.9879,229400
4719,1895,6.8132,282500
4236,1833,5.6399,300600
3634,1699,4.1597,293200
1569,583,5.7519,278500
13182,4847,5.6417,352900
228,83,10.3203,400000
127,51,4.3472,375000
9621,4389,6.6827,313700
6159,2649,3.62,139300
4290,1952,7.3588,327500
1786,771,5.7239,430600
404,144,4.2083,125000
1671,729,6.1023,450000
5608,2595,3.9864,200200
12070,5826,4.8624,192400
494,254,9.1531,418800
5533,2474,4.7361,216800
3956,2222,5.4324,215500
1906,802,4.9375,227700
3433,1919,3.3841,184400
1687,950,3.5532,158400
2358,1157,3.3618,174600
2853,1761,4.3533,168400
6296,3200,4.5357,188400
3980,1705,5.7068,256700
2647,1422,3.7212,183800
1755,702,5.2443,183400
1864,1189,4.2361,177500
1078,555,3.1856,186900
20354,8768,5.4496,238900
3112,1392,3.0222,172500
495,277,2.6667,179200
2157,929,3.7301,204400
1501,629,4.6806,209400
8068,3489,5.7907,264200
3023,1225,6.3705,350000
2211,1024,5.2649,199800
2163,947,6.0797,211000
1773,804,4.8571,201100
1947,900,3.8523,193000
14701,6693,5.98,245000
1364,338,2.45,117600
2061,573,2.2417,97900
3045,202,3.15,140600
3545,946,3.4609,120900
2944,1091,3,119000
1443,435,3.2031,129200
2277,767,2.5208,99100
1564,618,2.3549,108900
4403,1103,3.0125,111700
1133,495,2.05,68900
1001,369,3.125,96400
1783,638,2.65,116700
1521,607,3.5,123800
1374,657,2.5476,97900
1391,546,3.9107,129800
1473,597,4.2917,121300
1248,529,3.3393,107200
1748,4930,4.3029,121900
3998,1614,2.8125,113400
3471,1793,3.5508,99100
2791,1187,3.2589,103000
2084,834,3.2937,114200
5654,2237,3.0465,144100
4221,1737,2.3125,128600
1787,806,2.525,157200
2144,985,3.175,118500
1538,730,2.6078,116700
3750,1444,2.7399,134800
3267,1252,2.7236,109900
1257,559,4.4531,144300
1341,533,3.2135,123600
9831,4644,3.1142,112600
6010,2710,3.0068,107300
7653,3628,3.0905,117800
5273,2446,1.9362,89900
2351,1215,2.3155,102300
7254,4030,2.0094,87300
10265,4591,3.07,142600
14631,7517,1.6785,153100
1707,822,3.6625,126600
